Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0416478669573349,-0.00403385726528455,0.0434515211828225,0,0,0,1.41078792734414,0.00111400506764418,-4.51157828478083E-10,0.00121758791262258,0.0198527111329821,3.85963214463603E-11,0.0190033666741306,0,0,0,0,0,0,package://teropobot_one_asm/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://teropobot_one_asm/meshes/base_link.STL,,body_perforado.step-1;neck_support.step-1;FR05-S101.step-1;FR05-X101_EDIT.step-2;FR05-X101_EDIT.step-1;MX-64AT_AR.step-12;soporte_ejes_inferiores.step-1;MX-64AT_AR.step-1;Hip.step-1;MX-64AT_AR.step-11,base_j0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_1,-0.0220000063965398,-0.0002848394407447,-0.0489971782635417,0,0,0,0.247997823174623,0.000101205620160074,-2.73198286691885E-11,3.85091254605903E-11,8.36561290864557E-05,-2.42574814154466E-06,5.209360840728E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_1.STL,1,1,1,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_1.STL,,link_motor_hip.step-2;MX-64AT_AR.step-2;link_motor_hip.step-1,r_j1,,r_j1,continuous,0.078905,-0.064,0.08462,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
r_2,-1.21365923977379E-08,0.028,-0.0625000000000697,0,0,0,0.0422410024350713,7.18043736115381E-05,3.05679866666057E-22,-3.24989272640482E-20,7.45445707922695E-05,1.97499821970278E-20,2.76835784902139E-06,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_2.STL,,femur.step-2;femur.step-1,r_j2,Axis_r_j2,r_j2,continuous,-0.022,-0.028,-0.069,0,0,0,r_1,0,1,0,0,0,0,0,,,,,,,,
r_3,-4.76214996325552E-08,0.0276633766737961,-0.0595000000000009,0,0,0,0.419694987008977,0.000191800779214511,-8.73001429301117E-20,7.70182498839553E-11,0.000172575599835482,6.5485934829039E-20,9.81203758622348E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_3.STL,,MX-64AT_AR.step-3;tibia.step-1;tibia.step-2;MX-64AT_AR.step-4,r_j3,Axis_r_j3,r_j3,continuous,0,0,-0.125,0,0,0,r_2,0,1,0,0,0,0,0,,,,,,,,
r_4,7.32872484920932E-09,0.0278766423184327,-0.0690622085159465,0,0,0,0.21645345011941,8.97348590279341E-05,-2.73182759123709E-11,-3.85091254427449E-11,7.15543482167347E-05,2.42574814154452E-06,5.50402868503364E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_4.STL,,FR05-H101.step-1;espaciado_tobillo.step-1;MX-64AT_AR.step-6,r_j4,Axis_r_j4,r_j4,continuous,0,0,-0.119,0,0,0,r_3,0,1,0,0,0,0,0,,,,,,,,
r_5,0.0272000605607781,-0.0101407612836425,0.0367210679469446,0,0,0,0.0778843023583795,3.49434622141053E-05,-4.61961003180269E-11,-7.94426883548982E-11,8.92066933457862E-05,7.7658400474191E-07,6.0545888001123E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_5.STL,1,1,1,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/r_5.STL,,foot.step-1,Origin_r_j5,Axis_r_j5,r_j5,continuous,0,0,-0.0888,1.5708,0,1.5708,r_4,1,0,0,0,0,0,0,,,,,,,,
l_1,-0.0220000063965399,-0.000284839440744866,-0.0489971782635413,0,0,0,0.247997823174622,0.000101205620160074,-2.73198286843467E-11,3.85091254089044E-11,8.36561290864555E-05,-2.42574814154473E-06,5.20936084072799E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_1.STL,,link_motor_hip.step-4;link_motor_hip.step-3;MX-64AT_AR.step-10,l_j1,Axis_l_j1,l_j1,continuous,0.078905,0.0558,0.08462,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
l_2,-1.21365695271436E-08,-0.022,-0.0624999999999998,0,0,0,0.0422410024350712,7.1804373611538E-05,1.16152614447642E-21,6.83615499222718E-21,7.45445707922693E-05,-1.72375318350447E-20,2.76835784902138E-06,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_2.STL,,femur.step-3;femur.step-4,l_j2,Axis_l_j2,l_j2,continuous,-0.022,0.022,-0.069,0,0,0,l_1,0,1,0,0,0,0,0,,,,,,,,
l_3,-4.76214998545998E-08,-0.0223366233262036,-0.0595000000000001,0,0,0,0.419694987008977,0.000191800779214511,-1.75018521082314E-19,7.70182497518903E-11,0.000172575599835482,1.11296519146358E-19,9.81203758622349E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_3.STL,,MX-64AT_AR.step-9;tibia.step-3;tibia.step-4;MX-64AT_AR.step-8,l_j3,Axis_l_j3,l_j3,continuous,0,0,-0.125,0,0,0,l_2,0,1,0,0,0,0,0,,,,,,,,
l_4,7.328723627964E-09,-0.0221233576815661,-0.0690622085159464,0,0,0,0.216453450119409,8.97348590279335E-05,-2.73182760022979E-11,-3.85091251827074E-11,7.15543482167345E-05,2.4257481415448E-06,5.5040286850336E-05,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://teropobot_one_asm/meshes/l_4.STL,,MX-64AT_AR.step-7;espaciado_tobillo.step-2;FR05-H101.step-2,l_j4,Axis_l_j4,l_j4,continuous,0,0,-0.119,0,0,0,l_3,0,1,0,0,0,0,0,,,,,,,,
